facilities,rating,rating_descriptions,review_counts,location,Price
"['internet', 'bar', 'restaurant', 'pool', 'gym']",,,,Wanderland,100000
"['internet', 'bar', 'restaurant', 'swimmingpools']",8.0,Excellent,25.0,Willsmian,25000
"['bar', 'restaurant']",7.6,Very Good,2.0,Uberlandia,9300
"['internet', 'bar', 'restaurant']",,,,Wanderland,9000
"['restaurant', 'pool']",6.4,Very Good,4.0,Hallerson,18000
"['internet', 'bar', 'restaurant']",6.7,Very Good,1.0,Willsmian,3000
"['bar', 'restaurant']",,,,Hallerson,6000
"['intrnet', 'restaurant', 'swimmingpools']",9.1,Excellent,12.0,Uberlandia,37200
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.3,Excellent,11.0,Uberlandia,27000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",8.9,Excellent,19.0,Wanderland,35000
"['intrnet', 'bar', 'restaurant']",2.5,Fair,4.0,Willsmian,20000
"['internet', 'bar', 'restaurant', 'swimmingpools']",7.2,Very Good,23.0,Hallerson,24500
['bar'],8.7,Excellent,22.0,Uberlandia,27000
"['bar', 'restaurant']",,,,Wanderland,3000
"['bar', 'restaurant']",7.3,Very Good,6.0,Wanderland,6000
[],,,,Stokol,3040
[],5.6,Good,3.0,Uberlandia,14000
"['bar', 'restaurant']",6.5,Very Good,12.0,Stokol,10000
"['bar', 'restaurant', 'pool']",,,,Stokol,15000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.8,Excellent,2.0,Andeman,37250
[],5.4,Good,2.0,Andeman,3000
"['bar', 'restaurant']",7.3,Very Good,13.0,Uberlandia,7000
"['intrnet', 'bar', 'restaurant', 'gym']",8.3,Excellent,18.0,Uberlandia,20000
[],,,,Willsmian,2000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.6,Very Good,13.0,Uberlandia,20000
"['intrnet', 'bar', 'restaurant']",7.0,Very Good,7.0,Andeman,6500
"['internet', 'restaurant', 'pool']",6.3,Very Good,14.0,Machlessvile,15000
"['bar', 'restaurant', 'pool', 'gym']",7.6,Very Good,1.0,Uberlandia,16500
['restaurant'],7.1,Very Good,12.0,Andeman,20000
"['bar', 'restaurant']",,,,Hallerson,3300
"['bar', 'restaurant', 'pool', 'gym']",7.2,Very Good,38.0,Wanderland,19000
"['bar', 'restaurant']",7.6,Very Good,9.0,Ubisville,9000
['bar'],7.1,Very Good,3.0,Stokol,8000
"['internet', 'bar', 'restaurant', 'pool']",10.0,Excellent,2.0,Willsmian,25000
"['intrnet', 'restaurant']",7.1,Very Good,2.0,Hallerson,9500
"['bar', 'pool']",6.4,Very Good,49.0,Hallerson,20000
"['bar', 'restaurant']",7.8,Very Good,2.0,Wanderland,11000
"['bar', 'pool']",7.9,Very Good,4.0,Stokol,18000
"['internet', 'bar', 'restaurant', 'pool']",7.2,Very Good,23.0,Uberlandia,24500
['intrnet'],8.1,Excellent,57.0,Willsmian,21500
"['bar', 'restaurant', 'pool', 'gym']",8.6,Excellent,6.0,Machlessvile,23000
[],,,,Andeman,2500
['bar'],8.7,Excellent,22.0,Uberlandia,27000
"['bar', 'restaurant', 'gym']",7.9,Very Good,3.0,Hallerson,48000
['restaurant'],8.4,Excellent,4.0,Andeman,15000
['bar'],7.9,Very Good,13.0,Stokol,8400
['bar'],,,,Wanderland,4500
"['bar', 'restaurant', 'swimmingpools']",7.9,Very Good,6.0,Uberlandia,9000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",8.7,Excellent,7.0,Andeman,12500
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.7,Very Good,46.0,Andeman,23000
"['bar', 'restaurant']",,,,Stokol,4000
['bar'],7.9,Very Good,3.0,Wanderland,15000
"['bar', 'restaurant', 'pool']",7.6,Very Good,2.0,Wanderland,18000
"['internet', 'restaurant', 'swimmingpools']",7.5,Very Good,154.0,Ubisville,20000
"['bar', 'restaurant']",8.1,Excellent,6.0,Machlessvile,82400
"['internet', 'bar', 'restaurant', 'gym']",7.2,Very Good,44.0,Machlessvile,30000
"['intrnet', 'bar', 'pool', 'gym']",6.9,Very Good,12.0,Stokol,20000
"['intrnet', 'bar', 'restaurant']",8.5,Excellent,3.0,Wanderland,28500
"['internet', 'bar']",6.7,Very Good,10.0,Uberlandia,35000
"['internet', 'bar', 'restaurant']",8.6,Excellent,2.0,Machlessvile,9000
[],2.3,Fair,2.0,Stokol,3200
"['bar', 'restaurant']",7.2,Very Good,2.0,Uberlandia,3000
"['internet', 'bar']",7.7,Very Good,34.0,Stokol,12750
"['internet', 'bar', 'restaurant', 'pool']",7.4,Very Good,145.0,Wanderland,17000
[],,,,Wanderland,6000
[],,,,Stokol,17000
"['internet', 'bar', 'restaurant']",,,,Andeman,5500
['internet'],5.4,Good,13.0,Hallerson,4000
"['bar', 'restaurant', 'swimmingpools', 'gym']",6.0,Very Good,9.0,Stokol,35000
[],6.3,Very Good,46.0,Wanderland,35000
[],,,,Hallerson,1800
"['internet', 'bar', 'restaurant', 'gym']",7.2,Very Good,44.0,Andeman,30000
"['internet', 'bar']",7.4,Very Good,5.0,Hallerson,20000
"['restaurant', 'swimmingpools']",,,,Stokol,80500
['bar'],7.9,Very Good,12.0,Willsmian,25000
"['intrnet', 'bar', 'restaurant']",6.9,Very Good,33.0,Wanderland,13975
[],,,,Machlessvile,4025
[],5.4,Good,2.0,Hallerson,3000
"['internet', 'restaurant']",7.2,Very Good,30.0,Stokol,20000
"['internet', 'bar', 'restaurant', 'gym']",9.4,Excellent,5.0,Stokol,12000
"['bar', 'restaurant']",9.6,Excellent,2.0,Andeman,12800
"['intrnet', 'bar', 'restaurant', 'swimmingpools']",9.8,Excellent,4.0,Wanderland,64800
"['intrnet', 'restaurant']",7.1,Very Good,13.0,Uberlandia,20000
"['bar', 'restaurant', 'swimmingpools', 'gym']",7.9,Very Good,5.0,Hallerson,24000
[],3.6,Fair,1.0,Hallerson,2200
"['internet', 'bar', 'restaurant', 'swimmingpools']",7.8,Very Good,24.0,Machlessvile,52875
"['bar', 'restaurant']",9.4,Excellent,3.0,Stokol,20000
"['bar', 'restaurant', 'pool']",4.9,Good,6.0,Stokol,12850
"['internet', 'bar', 'restaurant']",6.8,Very Good,21.0,Hallerson,8800
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.6,Very Good,6.0,Uberlandia,30000
"['bar', 'restaurant']",6.2,Very Good,7.0,Andeman,8000
['bar'],8.7,Excellent,22.0,Machlessvile,27000
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",,,,Wanderland,6500
"['internet', 'bar', 'restaurant']",8.3,Excellent,21.0,Ubisville,12000
['pool'],,,,Uberlandia,20000
['restaurant'],8.4,Excellent,4.0,Ubisville,15000
"['bar', 'restaurant', 'pool', 'gym']",6.1,Very Good,8.0,Uberlandia,8000
"['bar', 'restaurant']",6.6,Very Good,7.0,Hallerson,10000
"['intrnet', 'restaurant', 'pool']",6.5,Very Good,8.0,Uberlandia,16000
"['restaurant', 'pool']",6.0,Very Good,3.0,Andeman,33000
"['intrnet', 'bar', 'restaurant', 'gym']",9.4,Excellent,5.0,Hallerson,12000
['internet'],8.1,Excellent,57.0,Stokol,21500
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.7,Very Good,46.0,Uberlandia,23000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.5,Excellent,4.0,Hallerson,49900
"['bar', 'restaurant', 'pool']",,,,Wanderland,15000
"['internet', 'bar', 'pool', 'gym']",6.9,Very Good,12.0,Hallerson,20000
"['bar', 'restaurant', 'swimmingpools', 'gym']",7.0,Very Good,6.0,Wanderland,32000
"['bar', 'restaurant']",7.9,Very Good,59.0,Wanderland,20500
['bar'],7.6,Very Good,1.0,Uberlandia,5000
"['bar', 'restaurant']",2.8,Fair,3.0,Uberlandia,3000
"['bar', 'pool', 'gym']",9.5,Excellent,4.0,Uberlandia,14997
"['internet', 'bar', 'restaurant']",6.8,Very Good,1.0,Wanderland,17000
"['bar', 'restaurant']",6.4,Very Good,1.0,Stokol,3500
['restaurant'],,,,Stokol,5000
['bar'],,,,Machlessvile,5000
"['bar', 'restaurant']",6.2,Very Good,13.0,Andeman,3500
"['bar', 'restaurant']",5.6,Good,1.0,Stokol,5400
"['internet', 'bar']",6.7,Very Good,10.0,Machlessvile,35000
"['bar', 'restaurant']",6.7,Very Good,50.0,Uberlandia,18000
['intrnet'],7.7,Very Good,18.0,Andeman,20000
"['intrnet', 'bar', 'restaurant']",9.6,Excellent,2.0,Uberlandia,15000
"['bar', 'restaurant', 'pool']",7.1,Very Good,7.0,Wanderland,12500
"['bar', 'restaurant', 'swimmingpools', 'gym']",10.0,Excellent,1.0,Wanderland,25000
"['bar', 'swimmingpools', 'gym']",8.6,Excellent,4.0,Uberlandia,12800
['bar'],7.4,Very Good,43.0,Uberlandia,11500
"['bar', 'restaurant']",6.9,Very Good,3.0,Stokol,2500
"['intrnet', 'bar', 'restaurant', 'swimmingpools']",8.7,Excellent,15.0,Andeman,35000
"['bar', 'restaurant', 'gym']",5.3,Good,4.0,Stokol,11500
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",6.7,Very Good,32.0,Andeman,55537
['bar'],,,,Andeman,3500
"['internet', 'bar', 'restaurant', 'gym']",6.5,Very Good,32.0,Wanderland,15000
"['bar', 'restaurant', 'pool', 'gym']",7.4,Very Good,10.0,Wanderland,8000
"['restaurant', 'gym']",5.6,Good,1.0,Hallerson,15500
"['bar', 'restaurant']",8.1,Excellent,18.0,Stokol,15500
"['bar', 'restaurant', 'pool', 'gym']",3.7,Fair,2.0,Wanderland,45000
[],,,,Wanderland,4500
"['intrnet', 'bar', 'restaurant', 'gym']",,,,Stokol,10000
"['bar', 'restaurant']",4.9,Good,5.0,Uberlandia,4400
"['internet', 'bar']",8.8,Excellent,2.0,Wanderland,20000
"['internet', 'restaurant', 'pool']",6.4,Very Good,2.0,Willsmian,6000
"['bar', 'restaurant']",,,,Stokol,2000
['bar'],6.3,Very Good,3.0,Hallerson,7000
['internet'],,,,Willsmian,25000
"['bar', 'restaurant']",8.0,Excellent,3.0,Andeman,9000
"['bar', 'restaurant']",4.9,Good,5.0,Stokol,4400
"['internet', 'restaurant', 'swimmingpools']",5.9,Good,3.0,Willsmian,6500
"['bar', 'restaurant']",7.8,Very Good,2.0,Andeman,11000
"['internet', 'bar', 'restaurant']",4.4,Good,1.0,Andeman,6700
['restaurant'],,,,Machlessvile,2300
"['intrnet', 'restaurant', 'pool']",5.0,Good,2.0,Stokol,15000
[],,,,Machlessvile,4500
"['internet', 'bar', 'restaurant', 'swimmingpools']",,,,Machlessvile,15000
"['intrnet', 'bar', 'restaurant']",8.0,Excellent,36.0,Hallerson,19000
['restaurant'],,,,Hallerson,4175
"['bar', 'restaurant']",6.2,Very Good,8.0,Wanderland,14500
['bar'],7.9,Very Good,13.0,Andeman,8400
"['bar', 'restaurant', 'pool', 'gym']",8.7,Excellent,5.0,Stokol,33000
"['bar', 'restaurant', 'pool', 'gym']",,,,Machlessvile,30000
[],,,,Andeman,4500
[],,,,Stokol,2200
"['bar', 'restaurant', 'pool', 'gym']",8.8,Excellent,2.0,Machlessvile,20000
"['internet', 'restaurant']",7.1,Very Good,13.0,Willsmian,20000
['internet'],,,,Wanderland,25000
['pool'],8.2,Excellent,6.0,Andeman,30000
"['bar', 'restaurant', 'swimmingpools']",8.9,Excellent,3.0,Stokol,20000
"['bar', 'restaurant']",6.4,Very Good,3.0,Stokol,10000
"['bar', 'restaurant']",,,,Hallerson,2500
"['bar', 'restaurant', 'swimmingpools']",5.2,Good,28.0,Hallerson,40326
"['intrnet', 'bar', 'restaurant']",7.9,Very Good,10.0,Uberlandia,59000
['bar'],7.8,Very Good,2.0,Ubisville,8000
"['bar', 'restaurant']",5.8,Good,10.0,Stokol,3000
"['bar', 'pool']",8.2,Excellent,152.0,Hallerson,30000
"['intrnet', 'bar', 'pool']",8.8,Excellent,36.0,Hallerson,25000
['bar'],,,,Andeman,6000
"['internet', 'bar', 'restaurant']",4.4,Good,1.0,Wanderland,6700
"['bar', 'restaurant']",8.2,Excellent,2.0,Andeman,4000
"['bar', 'restaurant', 'pool']",7.3,Very Good,41.0,Uberlandia,11000
"['bar', 'restaurant']",8.0,Excellent,3.0,Andeman,11800
"['internet', 'bar', 'restaurant']",,,,Machlessvile,5000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.4,Excellent,226.0,Wanderland,43000
"['internet', 'bar', 'restaurant', 'gym']",8.3,Excellent,18.0,Stokol,20000
"['internet', 'bar']",8.8,Excellent,2.0,Ubisville,20000
"['internet', 'bar', 'restaurant']",8.1,Excellent,3.0,Stokol,8000
"['intrnet', 'bar', 'restaurant']",6.9,Very Good,33.0,Uberlandia,13975
[],,,,Willsmian,7500
"['bar', 'restaurant', 'swimmingpools']",,,,Andeman,15000
"['internet', 'bar']",7.7,Very Good,34.0,Willsmian,12750
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.5,Excellent,4.0,Uberlandia,49900
"['bar', 'restaurant']",8.8,Excellent,6.0,Machlessvile,12500
"['bar', 'restaurant']",5.5,Good,3.0,Andeman,10000
"['bar', 'restaurant']",8.4,Excellent,3.0,Andeman,12000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.8,Very Good,25.0,Stokol,15000
"['internet', 'bar', 'restaurant', 'pool']",7.2,Very Good,23.0,Stokol,24500
"['bar', 'restaurant']",7.8,Very Good,10.0,Wanderland,7560
['pool'],8.2,Excellent,6.0,Hallerson,30000
"['internet', 'bar', 'swimmingpools']",7.3,Very Good,61.0,Wanderland,12000
"['internet', 'bar', 'pool']",7.3,Very Good,61.0,Uberlandia,12000
"['bar', 'pool', 'gym']",8.6,Excellent,4.0,Andeman,12800
"['bar', 'restaurant']",6.0,Very Good,1.0,Stokol,7900
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",8.3,Excellent,6.0,Uberlandia,25000
"['intrnet', 'bar', 'restaurant', 'swimmingpools']",7.7,Very Good,14.0,Wanderland,18000
"['internet', 'bar', 'restaurant']",7.2,Very Good,2.0,Hallerson,56000
"['intrnet', 'bar', 'restaurant', 'gym']",8.4,Excellent,10.0,Hallerson,25800
[],,,,Machlessvile,4500
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",7.2,Very Good,4.0,Hallerson,69569
"['internet', 'bar', 'restaurant']",7.0,Very Good,20.0,Willsmian,143802
"['bar', 'restaurant']",7.4,Very Good,50.0,Andeman,20000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.5,Excellent,4.0,Ubisville,49900
"['restaurant', 'pool', 'gym']",9.3,Excellent,4.0,Machlessvile,35000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",8.4,Excellent,226.0,Wanderland,43000
"['bar', 'swimmingpools', 'gym']",8.6,Excellent,4.0,Hallerson,12800
"['bar', 'restaurant']",,,,Ubisville,7500
['internet'],8.9,Excellent,11.0,Hallerson,18000
"['restaurant', 'swimmingpools']",8.0,Excellent,34.0,Hallerson,23000
"['internet', 'bar']",7.7,Very Good,34.0,Machlessvile,12750
"['bar', 'restaurant']",8.3,Excellent,11.0,Stokol,15000
"['internet', 'bar']",7.4,Very Good,40.0,Andeman,13000
"['bar', 'restaurant', 'swimmingpools', 'gym']",8.8,Excellent,2.0,Andeman,20000
"['internet', 'bar', 'restaurant', 'pool', 'gym']",7.2,Very Good,16.0,Stokol,17000
[],3.6,Fair,1.0,Uberlandia,2200
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",5.2,Good,3.0,Stokol,26875
"['bar', 'restaurant']",8.4,Excellent,1.0,Wanderland,15000
['restaurant'],,,,Machlessvile,4175
"['bar', 'restaurant']",,,,Wanderland,4000
[],6.4,Very Good,1.0,Stokol,5500
"['intrnet', 'bar', 'swimmingpools', 'gym']",6.9,Very Good,12.0,Machlessvile,20000
"['intrnet', 'bar', 'restaurant']",6.6,Very Good,4.0,Willsmian,7000
"['bar', 'restaurant']",9.6,Excellent,3.0,Hallerson,9200
"['bar', 'restaurant']",7.3,Very Good,9.0,Stokol,13000
"['intrnet', 'bar', 'swimmingpools']",7.3,Very Good,61.0,Andeman,12000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",6.9,Very Good,23.0,Wanderland,17000
"['bar', 'restaurant']",7.6,Very Good,2.0,Andeman,10000
"['intrnet', 'bar']",6.9,Very Good,10.0,Willsmian,18000
['intrnet'],8.1,Excellent,57.0,Machlessvile,21500
['restaurant'],,,,Uberlandia,5000
"['bar', 'restaurant', 'swimmingpools', 'gym']",5.7,Good,37.0,Stokol,30000
"['internet', 'bar', 'restaurant']",,,,Stokol,6000
"['internet', 'bar']",7.2,Very Good,25.0,Stokol,15000
"['bar', 'restaurant', 'swimmingpools', 'gym']",7.0,Very Good,6.0,Uberlandia,32000
"['bar', 'restaurant', 'swimmingpools', 'gym']",6.3,Very Good,8.0,Stokol,7000
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",,,,Hallerson,6500
['bar'],7.9,Very Good,12.0,Stokol,25000
['bar'],7.9,Very Good,12.0,Hallerson,25000
"['internet', 'bar', 'restaurant', 'pool']",7.2,Very Good,23.0,Stokol,24500
"['internet', 'bar']",7.2,Very Good,25.0,Ubisville,15000
"['internet', 'bar', 'restaurant', 'swimmingpools', 'gym']",6.7,Very Good,10.0,Stokol,40191
['internet'],7.7,Very Good,18.0,Stokol,20000
"['intrnet', 'bar', 'restaurant', 'pool', 'gym']",8.7,Excellent,7.0,Stokol,12500
"['bar', 'restaurant']",8.0,Excellent,4.0,Machlessvile,9000
"['bar', 'restaurant']",6.9,Very Good,17.0,Uberlandia,13500
"['internet', 'restaurant', 'pool']",7.5,Very Good,154.0,Stokol,20000
"['internet', 'restaurant']",,,,Stokol,14904
"['restaurant', 'swimmingpools']",6.4,Very Good,4.0,Wanderland,18000
[],,,,Stokol,4200
['bar'],5.8,Good,2.0,Wanderland,25000
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",6.7,Very Good,10.0,Machlessvile,40191
['bar'],,,,Willsmian,3000
[],6.4,Very Good,1.0,Andeman,5500
[],,,,Hallerson,8000
"['intrnet', 'bar', 'restaurant']",6.9,Very Good,12.0,Hallerson,6000
['bar'],5.8,Good,2.0,Stokol,25000
"['bar', 'restaurant', 'pool', 'gym']",6.1,Very Good,8.0,Willsmian,8000
['restaurant'],,,,Stokol,7000
"['bar', 'restaurant']",7.3,Very Good,32.0,Hallerson,13500
"['intrnet', 'bar', 'restaurant', 'swimmingpools', 'gym']",6.9,Very Good,10.0,Hallerson,10000
"['bar', 'restaurant']",,,,Willsmian,6000
"['bar', 'restaurant', 'swimmingpools']",7.3,Very Good,41.0,Wanderland,11000
"['internet', 'restaurant']",7.2,Very Good,30.0,Hallerson,20000
['restaurant'],,,,Willsmian,5000
"['bar', 'restaurant']",6.6,Very Good,7.0,Ubisville,10000
"['bar', 'restaurant']",7.3,Very Good,32.0,Machlessvile,13500
"['bar', 'restaurant', 'pool', 'gym']",6.0,Very Good,9.0,Machlessvile,35000
[],,,,Willsmian,8000
"['bar', 'restaurant']",8.0,Excellent,6.0,Stokol,11500
"['intrnet', 'bar', 'restaurant']",,,,Andeman,7475
"['restaurant', 'pool', 'gym']",6.2,Very Good,30.0,Andeman,17999
"['bar', 'restaurant']",3.6,Fair,1.0,Andeman,3000
['restaurant'],7.1,Very Good,68.0,Wanderland,20000
"['internet', 'bar', 'swimmingpools']",7.3,Very Good,61.0,Andeman,12000
"['restaurant', 'pool', 'gym']",9.3,Excellent,4.0,Uberlandia,35000
"['internet', 'restaurant']",7.5,Very Good,4.0,Wanderland,10500
"['bar', 'restaurant', 'pool']",7.3,Very Good,41.0,Machlessvile,11000
"['bar', 'restaurant']",4.9,Good,5.0,Andeman,4400
[],,,,Willsmian,4025
"['internet', 'bar', 'swimmingpools', 'gym']",8.2,Excellent,13.0,Wanderland,32000
"['bar', 'restaurant']",7.2,Very Good,4.0,Hallerson,13000
"['bar', 'restaurant']",8.0,Excellent,6.0,Ubisville,11500
"['bar', 'restaurant', 'pool']",7.8,Very Good,10.0,Wanderland,13500
['bar'],,,,Willsmian,5000
"['bar', 'restaurant']",6.2,Very Good,10.0,Hallerson,4000
